sample	num_seqs	sum_len	min_len	avg_len	max_len	N50	N50_num	GC(%)	nReads	Shannon index	Viral_Count	Viral_Min_len	Viral_Max_len	Viral_Mean_len	Viral_Total_len	Viral_N50_len	Continent	Country
CNS0178551	743926	676423190	200	909.3	314379	1170	11177	43.34	120881410	7.00133	2433	5002	314379	11442.22	27838913	12283	Asia	China
CNS0178552	648988	614451336	200	946.8	305120	1273	11113	44.06	118945682	7.2824	3505	5001	174549	11268.3	39495404	12514	Asia	China
CNS0178553	490369	471282357	200	961.1	418539	1346	9957	43.06	124277847	6.46615	1676	5002	202103	10341.88	17332992	10950	Asia	China
CNS0178554	525507	522896956	200	995.0	414889	1430	10711	44.95	110767768	6.82086	2152	5000	258369	10605.24	22822467	11320	Asia	China
CNS0178555	689393	654706528	200	949.7	252750	1288	11624	44.61	124780099	7.2209	4147	5001	252750	12006.26	49789941	13302	Asia	China
CNS0178556	639468	570713912	200	892.5	289013	1153	10188	43.42	116865280	6.94562	2956	5002	289013	11254.56	33268483	12068	Asia	China
CNS0178557	699920	618919494	200	884.3	240771	1123	10542	44.14	116937332	6.73928	1863	5000	240771	10491.06	19544841	10932	Asia	China
CNS0178558	642557	622547999	200	968.9	253171	1345	11451	43.1	121209813	7.2624	3648	5000	253171	12730.15	46439577	14804	Asia	China
CNS0178559	711163	660912243	200	929.3	262259	1226	11456	44.41	111543724	6.51138	1499	5002	262259	12402.27	18591007	14437	Asia	China
CNS0178560	628762	608953145	200	968.5	241914	1347	11228	42.55	112842648	7.32236	3572	5000	241914	11849.64	42326920	13212	Asia	China
CNS0178561	662660	650349617	200	981.4	276252	1361	11742	44.57	120525252	6.82442	2506	5000	209917	12936.75	32419488	15492	Asia	China
CNS0178562	405335	416318282	200	1027.1	478655	1566	9922	44.64	113660264	6.34877	1253	5003	267391	10826.44	13565524	11603	Asia	China
CNS0178563	521846	507160376	200	971.9	316956	1372	10550	42.8	112762224	6.51663	2740	5000	316956	12492.05	34228211	14205	Asia	China
CNS0178564	587453	559866575	200	953.0	244367	1292	10533	45.67	106799686	6.97934	2863	5000	244367	11308.09	32375073	12522	Asia	China
CNS0178565	370893	390731205	200	1053.5	370075	1626	9782	44.38	111721467	6.32268	1774	5006	207173	11496.77	20395277	12722	Asia	China
CNS0178566	679696	609507448	200	896.7	163381	1145	10717	44.85	110183678	7.16645	2733	5000	158810	10850.49	29654376	11459	Asia	China
CNS0178567	571502	589082496	200	1030.8	414908	1464	11249	45.24	150255361	5.60387	517	5006	255028	12140.87	6276829	14017	Asia	China
CNS0178568	723083	668534889	200	924.6	252529	1146	10193	44.54	147155698	5.8063	617	5009	222896	10948.93	6755487	11186	Asia	China
CNS0178573	307354	373410214	200	1214.9	491890	3436	8069	49.36	125554765	5.48986	604	5000	320809	20057.11	12114495	33444	Asia	China
CNS0178574	379663	364207776	200	959.3	440058	1531	9042	48.56	150477069	3.78104	575	5001	216962	19283.63	11088086	33477	Asia	China
CNS0178575	558690	491374282	200	879.5	397457	1178	10115	47.61	149402566	5.12023	590	5005	167848	18546.2	10942260	27719	Asia	China
CNS0178576	427586	389442658	200	910.8	745024	1324	9329	49.22	123254070	4.92978	426	5001	183466	16057.1	6840326	22447	Asia	China
CNS0178577	435981	383585101	200	879.8	633872	1195	8107	47.13	157787786	4.69372	469	5000	240934	19485.37	9138640	31281	Asia	China
CNS0178578	1702914	1088795674	200	639.4	389882	657	7174	44.13	140136900	4.35347	187	5005	148280	19153.72	3581746	34278	Asia	China
CNS0178579	771019	487951983	200	632.9	380614	579	7797	44.44	134973899	1.44528	245	5052	240935	17166.64	4205826	26021	Asia	China
CNS0178581	364522	381333819	200	1046.1	336711	1715	8934	48.43	163225365	5.06015	631	5009	217907	20349.09	12840275	35791	Asia	China
CNS0178582	379629	387703657	200	1021.3	807065	2257	8731	49.1	147561211	4.94512	497	5032	127543	17487.51	8691292	25264	Asia	China
CNS0178583	534971	523630257	200	978.8	439192	1604	11297	47.66	140444030	5.57903	598	5004	187451	16168.79	9668937	22156	Asia	China
CNS0178584	610982	493396395	200	807.5	831050	890	10369	48.26	148532232	3.94323	445	5010	206851	17691.2	7872582	27197	Asia	China
CNS0178585	445716	437970833	200	982.6	1437536	1935	9861	48.03	155644422	4.9882	602	5022	151795	15769.51	9493243	22059	Asia	China
CNS0178586	1801751	1173164895	200	651.1	357643	670	7632	43.49	136478397	3.61073	223	5011	133196	14912.64	3325518	22289	Asia	China
CNS0178588	978750	673158453	200	687.8	581607	642	9989	45.2	166866161	3.25672	490	5015	155743	18004.08	8821997	27527	Asia	China
CNS0178589	1253356	789477246	200	629.9	490039	606	8383	43.73	143743693	4.22099	278	5003	109056	14325.71	3982548	20675	Asia	China
CNS0178590	906700	657251626	200	724.9	555366	693	10817	47.08	165595101	3.97779	630	5004	300243	18463.32	11631889	30695	Asia	China
CNS0178592	407487	540305854	200	1325.9	751157	3216	10571	50.14	257591522	4.22108	1275	5007	274222	17492.96	22303522	27363	Asia	China
CNS0178593	468992	531351123	200	1133.0	399702	2588	11121	48.44	214460997	5.12634	1472	5009	190868	18230.63	26835491	29745	Asia	China
CNS0178594	871073	699446546	200	803.0	732012	839	12075	46.32	239637028	5.53994	866	5003	215313	18912.26	16378019	31254	Asia	China
CNS0178595	318746	443180440	200	1390.4	574068	4314	8354	49.5	232552780	5.46549	741	5004	168418	18386.71	13624555	28939	Asia	China
CNS0178596	472841	527717628	200	1116.1	574069	2629	10789	50.19	235680775	3.59179	854	5004	278655	16887.15	14421623	24225	Asia	China
CNS0178597	660864	607649654	200	919.5	499599	1336	11727	48.53	232341755	4.76323	873	5000	374962	18790.69	16404276	30345	Asia	China
CNS0178598	568697	573912521	200	1009.2	407709	1774	11614	48.62	229209314	4.55291	959	5005	407709	17798.57	17068830	28745	Asia	China
CNS0178599	914731	805485889	200	880.6	811450	1160	13275	48.34	223733291	5.8561	1566	5002	279420	17893.92	28021877	28015	Asia	China
CNS0178600	252969	393695887	200	1556.3	532488	5710	7454	48.75	204263332	4.68272	501	5013	203098	18846.64	9442168	33168	Asia	China
CNS0178602	915611	761797789	200	832.0	528684	1003	11453	45.0	148178910	5.74689	951	5012	197981	12789.31	12162636	14719	Asia	China
CNS0178603	815301	644937416	200	791.0	325095	933	9953	49.43	111690800	4.63351	544	5000	150823	12015.07	6536197	13456	Asia	China
CNS0178604	531372	475554241	200	895.0	319820	1186	10146	47.54	136133116	5.0265	519	5002	92955	10941.19	5678478	11983	Asia	China
CNS0178605	1073145	880072982	200	820.1	272764	982	11794	47.0	125992019	5.9091	876	5012	272304	11650.9	10206189	13243	Asia	China
CNS0178606	1316789	1084462543	200	823.6	281867	997	12719	45.95	174823987	6.46325	1853	5001	281867	11650.89	21589096	12928	Asia	China
CNS0178607	979449	846169470	200	863.9	362366	1087	11891	44.75	165499647	6.33163	2048	5001	362366	14459.98	29614041	19700	Asia	China
CNS0178608	1394659	1192493183	200	855.0	330310	1069	13994	47.14	207430817	7.45413	4242	5000	330310	14071.25	59690242	18035	Asia	China
CNS0178609	952596	761069918	200	798.9	499743	935	10929	46.42	123890700	5.97909	1176	5000	154275	13340.43	15688348	15959	Asia	China
CNS0178610	1172073	883255253	200	753.6	237771	851	10739	48.06	124827422	6.67719	1488	5011	153845	12858.78	19133863	15030	Asia	China
CNS0178611	1213483	946977411	200	780.4	404282	906	11354	48.01	141033438	6.05475	974	5001	267249	12893.03	12557809	15258	Asia	China
CNS0178612	794183	638662473	200	804.2	514272	938	10228	47.05	110151523	5.46394	516	5005	162946	11279.71	5820330	12417	Asia	China
CNS0178613	1265486	1007602517	200	796.2	557824	935	11686	49.56	154404524	6.53372	1618	5002	312554	13475.77	21803798	16636	Asia	China
CNS0178614	1144764	889186179	200	776.7	222446	895	11093	47.13	127187861	5.95687	950	5002	222446	12261.64	11648557	13752	Asia	China
CNS0178615	791868	656222660	200	828.7	653198	997	10525	48.69	119159494	5.94256	1054	5005	171266	12819.41	13511658	15676	Asia	China
CNS0178616	941059	843182808	200	896.0	297674	1310	13677	43.83	188508803	6.03853	1861	5001	232190	14031.2	26112067	18233	Asia	China
CNS0178617	2141499	1397910658	200	652.8	411317	683	9608	44.08	159594033	6.35302	1460	5001	411317	13198.78	19270212	15792	Asia	China
CNS0178618	1326581	1077419359	200	812.2	291625	1016	13189	45.64	215069164	6.08042	1223	5000	194777	11962.8	14630508	13532	Asia	China
CNS0178619	1149748	977831076	200	850.5	387844	1114	13181	43.84	198315981	6.40703	2462	5000	197626	14179.32	34909490	19173	Asia	China
CNS0178620	1364909	1110226396	200	813.4	255708	1067	13682	49.36	191039205	5.67799	725	5003	226617	12307.67	8923058	14518	Asia	China
CNS0178621	1032144	862727049	200	835.9	331038	1103	12411	42.79	212554402	5.88914	2767	5000	181656	14665.59	40579690	20486	Asia	China
CNS0178622	1199480	875988187	200	730.3	343543	828	11990	42.68	220666381	6.46724	3644	5000	215829	13594.32	49537695	17280	Asia	China
CNS0178623	993326	783202410	200	788.5	343003	1060	12093	46.38	205847944	5.3817	640	5001	182095	12469.41	7980422	14352	Asia	China
CNS0178625	1270466	928885964	200	731.1	487358	800	11267	44.21	134516667	6.41401	1982	5000	244888	12408.12	24592899	14300	Asia	China
CNS0178626	1190284	944169510	200	793.2	351241	973	12057	44.31	197095206	5.71156	1534	5000	241571	11773.08	18059911	13142	Asia	China
CNS0178627	1521331	1182049903	200	777.0	271083	947	13081	40.74	194876023	6.36204	2227	5000	227140	12339.36	27479747	14290	Asia	China
CNS0178628	1335528	1035150831	200	775.1	323244	894	12243	42.87	209236764	5.78711	1328	5003	235732	12160.97	16149766	13739	Asia	China
CNS0178629	1356532	1179731219	200	869.7	348167	1104	14591	41.12	310340566	5.59207	1591	5003	245300	12605.78	20055802	15012	Asia	China
CNS0178630	1040249	894230416	200	859.6	428982	1072	12672	40.24	199488467	5.47388	970	5000	294604	13139.73	12745534	15765	Asia	China
CNS0178631	947548	840266483	200	886.8	490124	1161	12375	45.67	152977701	6.16125	1308	5002	169038	13147.67	17197147	16316	Asia	China
CNS0178632	535485	461880049	200	862.5	443431	1102	9558	40.23	131233216	5.52284	982	5003	98271	12113.51	11895462	14625	Asia	China
CNS0178633	954984	834942588	200	874.3	326484	1081	12588	41.43	159643307	5.66102	1029	5001	169199	12407.65	12767472	14524	Asia	China
CNS0178635	1152193	899039735	200	780.3	307584	919	11133	40.66	170377052	5.29062	1205	5000	136772	11396.27	13732509	13036	Asia	China
CNS0178636	903212	741185982	200	820.6	455957	973	11618	40.49	153240670	5.32154	827	5005	108677	11078.51	9161924	12204	Asia	China
CNS0178637	1142774	962506574	200	842.3	241753	1019	12935	42.92	263158272	5.57797	1599	5001	130674	12267.41	19615589	14047	Asia	China
CNS0178638	616804	521079530	200	844.8	670012	1044	9595	42.9	161327569	5.18673	558	5002	146649	13324.15	7434875	16385	Asia	China
CNS0178639	1152547	930893666	200	807.7	345395	952	12261	45.19	182733874	5.87333	1622	5002	128392	11709.47	18992767	12970	Asia	China
CNS0178640	909534	780346338	200	858.0	283872	1048	11288	39.35	142207755	5.66229	1059	5004	283872	12910.37	13672081	16252	Asia	China
CNS0178641	979455	820771525	200	838.0	215053	1020	11201	41.65	162548373	5.80741	1281	5002	95367	11771.4	15079158	13255	Asia	China
CNS0178642	1024044	895356342	200	874.3	429564	1110	12877	41.74	170254611	5.99864	1692	5003	170931	12381.48	20949466	14620	Asia	China
CNS0178643	746576	649709964	200	870.3	321596	1091	11034	38.42	136651281	5.25583	1409	5001	126649	12369.97	17429289	14596	Asia	China
CNS0178644	952112	848851275	200	891.5	351030	1136	12475	41.56	186395658	5.21904	1687	5000	320842	14506.2	24471966	20841	Asia	China
CNS0178645	899295	796493075	200	885.7	337299	1149	12064	40.15	156367015	5.97365	1060	5000	129356	12051.69	12774795	13865	Asia	China
CNS0178646	1158205	998263653	200	861.9	272624	1068	12941	41.02	257896722	6.10253	1590	5003	164357	12028.29	19124979	13951	Asia	China
CNS0178647	867148	723463889	200	834.3	238098	1005	11379	44.07	156628150	5.72795	1009	5000	209617	12343.15	12454241	14381	Asia	China
CNS0178648	1044360	887080333	200	849.4	312059	1045	11878	40.76	181867117	5.84296	1430	5000	292700	14248.04	20374699	18663	Asia	China
CNS0178649	1349570	1161866190	200	860.9	285253	1075	14125	42.06	220178221	6.15835	1705	5000	235584	12957.37	22092319	15652	Asia	China
CNS0178650	875332	741986693	200	847.7	253356	1029	12114	41.37	168485217	6.18732	1534	5000	192121	12593.46	19318364	14860	Asia	China
CNS0178651	1102581	1007704496	200	914.0	328295	1223	14400	42.55	275458894	6.20056	2117	5002	247344	12657.73	26796411	15010	Asia	China
CNS0178652	1105713	952866938	200	861.8	517865	1070	13140	41.99	183932714	5.89939	1079	5003	517865	11782.47	12713286	13293	Asia	China
CNS0178653	953382	832594613	200	873.3	401858	1107	12367	40.81	157639153	5.11548	1472	5000	215986	12416.56	18277176	14160	Asia	China
CNS0178654	1044641	924982940	200	885.5	426233	1176	13455	43.96	206189459	5.98937	1567	5001	181255	13177.48	20649108	15991	Asia	China
CNS0178655	952389	843650798	200	885.8	428920	1159	12194	43.01	168570197	5.60067	930	5004	116954	11478.94	10675417	12815	Asia	China
CNS0178656	833433	793606867	200	952.2	429341	1336	13269	42.57	165400039	5.84793	963	5000	131809	12519.22	12056010	15099	Asia	China
CNS0178657	1050602	858940771	200	817.6	312794	965	11973	41.54	182219726	6.35236	2133	5005	209425	12677.33	27040738	14839	Asia	China
CNS0178658	1475787	1339454812	200	907.6	477832	1218	15667	42.33	292406153	6.60934	2871	5002	193404	13113.76	37649609	15669	Asia	China
CNS0178659	628105	578551793	200	921.1	300554	1289	11193	42.6	185902678	5.38703	759	5002	134541	12741.87	9671080	16241	Asia	China
CNS0178660	917726	819195929	200	892.6	428992	1159	12199	41.86	153415390	5.78957	1696	5002	166943	12374.18	20986610	14596	Asia	China
CNS0178661	929477	842488455	200	906.4	421766	1184	13078	40.33	193607450	5.64957	1575	5001	241545	12611.82	19863610	14812	Asia	China
CNS0178662	733302	642684381	200	876.4	312218	1115	11648	43.02	136781099	5.70121	672	5000	186377	13001.32	8736886	15871	Asia	China
CNS0178663	737999	673963125	200	913.2	345502	1204	11980	44.17	158125030	5.47975	597	5008	192668	12929.54	7718933	15779	Asia	China
CNS0178664	1012094	860619673	200	850.3	245402	1043	12737	41.14	168547144	5.9554	1488	5002	229171	13556.75	20172441	17123	Asia	China
CNS0178665	1126158	1022677941	200	908.1	467079	1330	14875	43.19	207538715	6.43802	1826	5001	164218	11720.31	21401289	13026	Asia	China
CNS0178666	955491	881888645	200	923.0	428928	1259	13894	40.44	189859641	5.93955	1409	5000	189312	12791.03	18022556	15092	Asia	China
CNS0178667	620622	539765962	200	869.7	332948	1089	10051	37.1	135368598	5.44625	1149	5001	201923	12722.24	14617858	14969	Asia	China
CNS0178668	996575	849116761	200	852.0	353497	1049	11878	42.41	158305787	5.5618	1241	5000	125992	11558.89	14344580	12565	Asia	China
CNS0178669	747295	646427247	200	865.0	308404	1073	10687	40.8	168495035	5.59748	1272	5003	195681	13432.43	17086052	16316	Asia	China
CNS0178670	1304185	1108762258	200	850.2	345415	1157	14049	44.9	197853628	6.78516	2365	5000	280164	12494.88	29550400	14561	Asia	China
CNS0178671	1702364	1514125493	200	889.4	360395	1142	15687	43.84	299124754	7.01486	3720	5000	222820	12604.95	46890413	15205	Asia	China
CNS0178672	1189466	1031389703	200	867.1	243729	1135	13556	40.67	191365989	6.27996	2281	5000	243729	13577.55	30970383	18257	Asia	China
CNS0178673	1094248	964557605	200	881.5	350863	1087	13298	40.43	171618925	6.10626	1531	5010	243495	13633.42	20872766	18093	Asia	China
CNS0178674	705284	596386638	200	845.6	216086	1063	10591	39.41	142549448	5.99485	1418	5000	169894	11546.48	16372911	12744	Asia	China
CNS0178675	822460	734127017	200	892.6	337779	1205	12123	44.69	161891885	6.2144	1428	5007	264320	13840.85	19764727	18001	Asia	China
CNS0178676	954428	839080497	200	879.1	365148	1171	13052	43.15	168393264	6.08386	1887	5000	174984	12797.59	24149052	15636	Asia	China
